0.11544	0.1914
0.18852	0.0801
0.24732	-0.0158
0.29388	-0.1009
0.27252	-0.1344
0.23184	-0.1127
0.20268	-0.0692
0.16776	-0.024
0.1206	-0.0339
0.1032	-0.1018
0.09804	-0.1697
0.1122	-0.2638
0.11484	-0.3335
0.11616	-0.3833
0.10776	-0.4403
0.09348	-0.4557
0.07416	-0.4502
0.069	-0.4222
0.06828	-0.3706
0.06768	-0.3362
0.05796	-0.2783
0.045	-0.2122
0.02172	-0.195
0.00624	-0.2421
-0.00468	-0.3145
-0.0222	-0.3733
-0.03708	-0.462
-0.05832	-0.4855
-0.08424	-0.4665
-0.07836	-0.4176
-0.06156	-0.3443
-0.05448	-0.2882
-0.03312	-0.186
-0.0474	-0.186
-0.0732	-0.2412
-0.10296	-0.3018
-0.14424	-0.4113
-0.15336	-0.4158
-0.17268	-0.4086
-0.18048	-0.3869
-0.17268	-0.3543
-0.13524	-0.2566
-0.1236	-0.2222
-0.09264	-0.1371
-0.10488	-0.1308
-0.13392	-0.1579
-0.17784	-0.2267
-0.20244	-0.2575
-0.22188	-0.2566
-0.2244	-0.2213
-0.19788	-0.1724
-0.17916	-0.1353
-0.13272	-0.0611
-0.12108	-0.0204
-0.11268	0.0367
-0.10428	0.081
-0.09132	0.1353
-0.07644	0.1643
-0.05256	0.1824
