506,5;412;2700
507;412;2701
507;416;2702
506,5;422;2703
507;426;2704
506;428,5;2705
506;426,5;2706
506;428,5;2707
503,5;429;2708
503,5;426;2709
504,5;423,5;2710
505,5;422;2711
506,5;421,5;2712
508;420,5;2713
507,5;429;2714
506;433;2715
507,5;437,5;2716
507,5;439;2717
507;439;2718
507;438;2719
507;432,5;2720
508;428;2721
508,5;431;2722
506,5;433,5;2723
506,5;434,5;2724
506;432,5;2725
505,5;426,5;2726
505,5;424;2727
504;423,5;2728
502;426;2729
502;427,5;2730
501;430;2731
497,5;429;2732
497,5;426;2733
497;424,5;2734
494,5;425;2735
494,5;427,5;2736
493,5;430,5;2737
490;438,5;2738
488;440,5;2739
484,5;443;2740
483;446;2741
482;442;2742
476,5;438,5;2743
476;431,5;2744
474,5;425,5;2745
473;424;2746
470,5;423;2747
467;433,5;2748
464;439;2749
459;448,5;2750
455,5;454;2751
444,5;456,5;2752
443;450,5;2753
438;437,5;2754
439,5;429;2755
432;424,5;2756
429;432;2757
420;444;2758
416,5;450,5;2759
407,5;454,5;2760
401,5;456;2761
393;449,5;2762
387;450;2763
377;446;2764
368,5;448,5;2765
356,5;449,5;2766
346;454;2767
331,5;459;2768
317;462,5;2769
298;462;2770
283;464,5;2771
255,5;468,5;2772
236;468,5;2773
201,5;468;2774
169,5;470;2775
118;472,5;2776
74;477;2777
